id,type,version,time,content-type,payload,clock,subject
"000a3db6-07f1-4b7d-ba86-00e67173c1b8","shipment.state.set","1","2024-11-23 11:45:30.789000 +00:00","application/json","[""prepare""]","77670","Shipment/62aa4a44-25e6-44cb-a929-bfec93980e0d"
"000bc5a0-43e5-48fe-93a8-90e4bafe91ab","shipment.order.set","2","2024-11-28 20:18:17.969000 +00:00","application/json","[{""id"": ""207c0e82-8fd1-455f-9c4d-9675abeb83a7"", ""jobs"": [], ""shipments"": [{""id"": ""0954ac88-5581-44cd-81b8-36d9d4c929b2"", ""parcels"": [], ""state"": ""prepare"", ""stops"": {}, ""tags"": [], ""timeWindow"": {""from"": ""2024-11-28T20:18:17.924080413Z"", ""to"": ""2024-11-28T20:18:17.924080413Z""}, ""type"": ""Shipment""}], ""type"": ""Order""}]","78194","Shipment/0954ac88-5581-44cd-81b8-36d9d4c929b2"
"0012ecb0-4f7a-44ee-9b54-9f37746fecc7","board.created","0","2024-10-10 10:40:32.526000 +00:00","application/json","{""date"": ""2024-10-10"", ""id"": ""85fab456-a86d-40ad-9385-82c41f3f1ad2"", ""lanes"": [], ""name"": ""85fab456"", ""shipmentStates"": [], ""tags"": [], ""type"": ""Board"", ""version"": 0}","113","Board/85fab456-a86d-40ad-9385-82c41f3f1ad2"
"007f0237-0b3e-407b-abbe-ff1762991e53","board.shipmentState.added","1","2024-10-10 12:54:06.512000 +00:00","application/json","[{""shipmentState"": ""prepare""}]","369","Board/b81e4b95-fbf4-4913-94ab-e37bd57aa003"
"007f690b-f04d-4b41-bf3d-ba2c53ddb82e","board.created","0","2024-10-16 20:46:42.797000 +00:00","application/json","{""date"": ""2024-10-16"", ""id"": ""b137bd2d-222e-48aa-ae56-9a761359de49"", ""lanes"": [], ""name"": ""b137bd2d"", ""shipmentStates"": [], ""tags"": [], ""type"": ""Board"", ""version"": 0}","76337","Board/b137bd2d-222e-48aa-ae56-9a761359de49"
"008d909e-c8b6-461e-a2bc-9b6ca1ef90ce","shipment.state.set","1","2024-10-25 12:56:30.411000 +00:00","application/json","[""prepare""]","76786","Shipment/6d74f3f0-820e-4bdd-85f0-1255e02304cd"
"00973098-a169-433d-8432-3f2ebb616fc8","shipment.stops.set","11","2024-10-25 08:00:49.287000 +00:00","application/json","[{""from"": {""id"": ""ca87b90b-5273-4f44-80d2-4326fc3d360b"", ""type"": ""Stop""}}]","76640","Shipment/1095a202-dd56-443d-841f-984aa0f5ce02"
"00ca97ff-acd0-4b3b-89c2-f089084279fd","board.shipmentState.added","1","2024-10-16 20:52:24.085000 +00:00","application/json","[{""shipmentState"": ""prepare""}]","76488","Board/22520475-8c2d-4cae-947c-ad79d048857e"
"00d27299-7de9-47a6-946e-01dcdae14f41","shipment.state.set","1","2024-10-16 20:06:57.128000 +00:00","application/json","[""prepare""]","1264","Shipment/c479ce4e-8867-4340-8f00-c94dd9a63e13"
"00e6a703-e10a-42fa-8b31-dfb24c3819a2","board.shipmentState.added","1","2024-10-10 12:59:10.892000 +00:00","application/json","[{""shipmentState"": ""prepare""}]","481","Board/a5fab7e1-b932-4946-8060-e650945d6de5"
